CD_MUN,NM_MUN,CD_RGI,NM_RGI,CD_RGINT,NM_RGINT,CD_UF,NM_UF,SIGLA_UF,CD_REGIA,NM_REGIA,SIGLA_RG,CD_CONCU,NM_CONCU,AREA_KM2,N_LINHAS
"4314068",Passa Sete,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,304.298999999999978,3
"4314076",Passo do Sobrado,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,265.132999999999981,4
"4300554",Alto Alegre,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,115.334999999999994,1
"4309050",Glorinha,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,323.954999999999984,6
"4310553",Itacurubi,"430014",Santiago,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1120.249000000000024,2
"4318408",São Jerônimo,"430006",Charqueadas - Triunfo - São Jerônimo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,935.596000000000004,2
"4321006",Tapera,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,179.935000000000002,2
"4301800",Barracão,"430033",Lagoa Vermelha,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,515.469000000000051,2
"4311809",Marau,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,649.769999999999982,3
"4322350",União da Serra,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,131.153999999999996,1
"4322327",Turuçu,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,253.634999999999991,4
"4303608",Cambará do Sul,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1181.810999999999922,1
"4318440",São Jorge,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,125.730999999999995,1
"4317509",Santo Ângelo,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,678.501999999999953,12
"4304903",Casca,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,272.040999999999997,6
"4314902",Porto Alegre,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,495.976999999999975,19
"4319752",São Vendelino,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,31.899000000000001,1
"4318481",São José do Hortêncio,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,63.709000000000003,2
"4318499",São José do Inhacorá,"430023",Três de Maio,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,77.731999999999999,1
"4320651",Silveira Martins,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,119.284999999999997,1
"4303673",Campestre da Serra,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,538.486999999999966,1
"4304952",Caseiros,"430033",Lagoa Vermelha,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,235.649000000000001,1
"4313656",Palmares do Sul,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,949.201000000000022,1
"4306429",Dois Irmãos das Missões,"430034",Palmeira das Missões,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,226.072000000000003,2
"4317103",Sant'Ana do Livramento,"430016",Santana do Livramento,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,"4317103",Internacional de Sant´Ana do Livramento/Brasil - Rivera/Uruguai,6946.407000000000153,9
"4306403",Dois Irmãos,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,67.509000000000000,4
"4320677",Sinimbu,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,509.778000000000020,1
"4309506",Guarani das Missões,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,289.516000000000020,2
"4308201",Flores da Cunha,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,276.240999999999985,5
"4302352",Bom Princípio,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,90.022999999999996,1
"4312351",Montauri,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,82.230000000000004,1
"4308250",Floriano Peixoto,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,168.520999999999987,1
"4306452",Dois Lajeados,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,133.534999999999997,1
