Municipio,Estado,Num_Linhas,Voltagens
Abdon Batista,SC,2,"230, 525"
Abelardo Luz,SC,1,525
Adrianópolis,PR,1,500
Agrolândia,SC,2,"230, 525"
Agronômica,SC,1,230
Agudo,RS,1,230
Agudos do Sul,PR,1,525
Alegria,RS,1,230
Almirante Tamandaré,PR,2,"230, 500"
Alpestre,RS,1,230
Altamira do Paraná,PR,3,"230, 525, 600"
Alto Alegre,RS,1,230
Alto Bela Vista,SC,1,525
Alto Feliz,RS,2,"230, 525"
Alto Piquiri,PR,1,230
Ametista do Sul,RS,1,230
Anahy,PR,1,765
Angelina,SC,2,"230, 525"
Anita Garibaldi,SC,2,"230, 525"
Antonina,PR,1,230
Antônio Carlos,SC,2,"230, 525"
Antônio Prado,RS,1,525
Apiúna,SC,1,230
Arapoti,PR,2,"230, 600"
Arapuã,PR,1,765
Araquari,SC,1,230
Aratiba,RS,1,525
Araucária,PR,2,"230, 525"
Ariranha do Ivaí,PR,2,"525, 765"
Armazém,SC,1,230
Arroio do Tigre,RS,1,230
Arvoredo,SC,2,"230, 525"
Ascurra,SC,1,230
Balneário Barra do Sul,SC,1,230
Balsa Nova,PR,2,"230, 525"
Barbosa Ferraz,PR,1,600
Barra do Rio Azul,RS,1,525
Barracão,RS,1,525
Barros Cassal,RS,1,230
Barão,RS,1,525
Barão de Cotegipe,RS,1,525
Benedito Novo,SC,1,525
Benjamin Constant do Sul,RS,1,230
Bento Gonçalves,RS,2,"230, 525"
Biguaçu,SC,2,"230, 525"
Bituruna,PR,2,"230, 525"
Blumenau,SC,2,"230, 525"
Boa Esperança do Iguaçu,PR,2,"230, 525"
Boa Ventura de São Roque,PR,1,525
Boa Vista das Missões,RS,1,525
Boa Vista do Cadeado,RS,1,230
Boa Vista do Incra,RS,1,230
Boa Vista do Sul,RS,2,"230, 525"
Bocaiúva do Sul,PR,1,230
Bom Jardim da Serra,SC,1,525
Bom Jesus,SC,2,"230, 525"
Bom Princípio,RS,1,525
Boqueirão do Leão,RS,1,230
Braga,RS,1,230
Braganey,PR,3,"525, 600, 765"
Braço do Norte,SC,1,525
Braço do Trombudo,SC,1,230
Brochier,RS,1,525
Brunópolis,SC,1,525
Brusque,SC,2,"230, 525"
Cafelândia,PR,3,"230, 600, 765"
Caibaté,RS,2,"230, 525"
Cambará do Sul,RS,1,230
Camboriú,SC,1,525
Campestre da Serra,RS,1,525
Campina Grande do Sul,PR,1,230
Campina da Lagoa,PR,2,"230, 765"
Campina do Simão,PR,1,525
Campinas do Sul,RS,1,230
Campo Alegre,SC,1,525
Campo Belo do Sul,SC,2,"230, 525"
Campo Bonito,PR,2,"525, 600"
Campo Largo,PR,3,"230, 500, 525"
Campo Magro,PR,2,"230, 500"
Campo Mourão,PR,1,230
Campo Novo,RS,1,230
Campos Borges,RS,1,230
Campos Novos,SC,2,"230, 525"
Candelária,RS,1,230
Canelinha,SC,1,525
Canoinhas,SC,1,230
Capanema,PR,1,230
Capinzal,SC,1,525
Capitão Leônidas Marques,PR,2,"230, 525"
Capivari de Baixo,SC,1,230
Capão Alto,SC,1,525
Capão Bonito do Sul,RS,2,"230, 525"
Carambeí,PR,1,230
Carlos Barbosa,RS,1,525
Casca,RS,2,"230, 525"
Cascavel,PR,4,"230, 525, 600, 765"
Caseiros,RS,1,230
Castro,PR,1,230
Catanduvas,PR,1,230
Catuípe,RS,1,525
Caxias do Sul,RS,2,"230, 525"
Celso Ramos,SC,2,"230, 525"
Cerro Azul,PR,1,500
Cerro Grande,RS,1,525
Cerro Largo,RS,1,525
Cerro Negro,SC,2,"230, 525"
Chapadão do Lageado,SC,1,525
Chapecó,SC,1,230
Charrua,RS,1,525
Chiapetta,RS,1,525
Chopinzinho,PR,2,"230, 525"
Ciríaco,RS,1,525
Clevelândia,PR,1,525
Cocal do Sul,SC,1,230
Colinas,RS,1,230
Colombo,PR,1,230
Concórdia,SC,1,525
Contenda,PR,2,"230, 525"
Corbélia,PR,2,"600, 765"
Cordilheira Alta,SC,1,230
Coronel Barros,RS,1,230
Coronel Bicaco,RS,1,525
Coronel Domingos Soares,PR,1,230
Coronel Freitas,SC,1,230
Coronel Pilar,RS,1,525
Coronel Vivida,PR,2,"230, 525"
Correia Pinto,SC,2,"230, 525"
Corupá,SC,1,525
Cotiporã,RS,2,"230, 525"
Coxilha,RS,2,"230, 525"
Cruz Alta,RS,1,230
Cruz Machado,PR,2,"230, 525"
Cruzaltense,RS,1,230
Cruzeiro do Iguaçu,PR,2,"230, 525"
Cruzeiro do Sul,RS,1,230
Cunhataí,SC,1,230
Curitiba,PR,2,"230, 525"
Curitibanos,SC,1,525
Cândido de Abreu,PR,2,"525, 600"
Céu Azul,PR,3,"230, 525, 600"
David Canabarro,RS,1,525
Diamante D'Oeste,PR,3,"525, 600, 765"
Dois Irmãos das Missões,RS,2,"230, 525"
Dois Lajeados,RS,1,525
Dois Vizinhos,PR,1,525
Dom Pedro de Alcântara,RS,1,230
Dona Emma,SC,1,525
Dona Francisca,RS,1,230
Entre Rios do Oeste,PR,1,525
Entre Rios do Sul,RS,1,230
Entre-Ijuís,RS,1,230
Erebango,RS,1,525
Erechim,RS,1,525
Ermo,SC,1,230
Ernestina,RS,1,230
Erval Grande,RS,2,"230, 525"
Erval Seco,RS,1,230
Erval Velho,SC,1,525
Esmeralda,RS,1,230
Espumoso,RS,1,230
Estação,RS,1,525
Estrela,RS,1,230
Estrela Velha,RS,1,230
Eugênio de Castro,RS,1,230
Fagundes Varela,RS,2,"230, 525"
Farroupilha,RS,2,"230, 525"
Faxinal do Soturno,RS,1,230
Faxinal dos Guedes,SC,1,525
Faxinalzinho,RS,2,"230, 525"
Fazenda Rio Grande,PR,1,525
Feliz,RS,2,"230, 525"
Fernandes Pinheiro,PR,1,230
Flores da Cunha,RS,2,"230, 525"
Floriano Peixoto,RS,1,525
Florianópolis,SC,1,230
Formosa do Oeste,PR,1,230
Forquilhinha,SC,1,230
Fortaleza dos Valos,RS,1,230
Foz do Iguaçu,PR,5,"230, 500, 525, 600, 765"
Frederico Westphalen,RS,1,230
Frei Rogério,SC,1,525
Galvão,SC,1,230
Garibaldi,RS,2,"230, 525"
Garuva,SC,1,230
Gaspar,SC,2,"230, 525"
General Carneiro,PR,1,525
Gentil,RS,1,525
Getúlio Vargas,RS,1,525
Giruá,RS,2,"230, 525"
Godoy Moreira,PR,1,600
Goioxim,PR,1,525
Gramado,RS,1,230
Gramado Xavier,RS,1,230
Gramado dos Loureiros,RS,2,"230, 525"
Grandes Rios,PR,2,"525, 765"
Gravatal,SC,1,230
Grão-Pará,SC,1,525
Guabiju,RS,1,525
Guabiruba,SC,1,230
Guaporé,RS,1,525
Guaramirim,SC,1,230
Guarani das Missões,RS,1,525
Guaraniaçu,PR,3,"230, 525, 600"
Guarapuava,PR,2,"230, 525"
Guaratuba,PR,1,230
Guatambú,SC,1,230
Guaíra,PR,1,525
Herval d'Oeste,SC,1,525
Honório Serpa,PR,1,525
Ibarama,RS,1,230
Ibiam,SC,1,230
Ibirama,SC,2,"230, 525"
Igrejinha,RS,1,230
Iguatu,PR,1,765
Ijuí,RS,1,230
Ilhota,SC,1,230
Imbituva,PR,2,"230, 525"
Imbuia,SC,1,525
Imigrante,RS,2,"230, 525"
Indaial,SC,1,230
Independência,RS,1,230
Inácio Martins,PR,1,230
Ipira,SC,1,525
Ipiranga,PR,2,"230, 525"
Ipuaçu,SC,1,230
Ipê,RS,1,525
Iracema do Oeste,PR,1,230
Irati,PR,1,230
Iraí,RS,1,230
Iretama,PR,2,"600, 765"
Itaipulândia,PR,2,"525, 765"
Itajaí,SC,2,"230, 525"
Itapejara d'Oeste,PR,1,230
Itaperuçu,PR,2,"230, 500"
Itatiba do Sul,RS,1,525
Ituporanga,SC,1,525
Itá,SC,2,"230, 525"
Ivaiporã,PR,2,"525, 765"
Ivaí,PR,1,525
Jaboticaba,RS,2,"230, 525"
Jacuizinho,RS,1,230
Jacutinga,RS,1,230
Jaguariaíva,PR,1,230
Jaquirana,RS,1,230
Jaraguá do Sul,SC,1,525
Jesuítas,PR,1,230
Joaçaba,SC,1,525
Joinville,SC,1,230
José Boiteux,SC,1,525
Juranda,PR,1,600
Jóia,RS,1,230
Júlio de Castilhos,RS,1,230
Lages,SC,2,"230, 525"
Lagoa Vermelha,RS,2,"230, 525"
Lagoa dos Três Cantos,RS,1,230
Lagoão,RS,1,230
Lajeado,RS,1,230
Lajeado do Bugre,RS,1,525
Lapa,PR,2,"230, 525"
Laranjeiras do Sul,PR,1,525
Laurentino,SC,1,230
Lauro Müller,SC,1,525
Leoberto Leal,SC,1,525
Liberato Salzano,RS,2,"230, 525"
Lindoeste,PR,2,"230, 525"
Linha Nova,RS,1,230
Lontras,SC,1,230
Luiz Alves,SC,2,"230, 525"
Luiziana,PR,2,"600, 765"
Luzerna,SC,1,525
Machadinho,RS,1,525
Major Gercino,SC,1,230
Mallet,PR,2,"230, 525"
Mamborê,PR,3,"230, 600, 765"
Mandirituba,PR,1,525
Mangueirinha,PR,3,"230, 500, 525"
Manoel Ribas,PR,3,"525, 600, 765"
Marau,RS,2,"230, 525"
Marechal Cândido Rondon,PR,1,525
Mariópolis,PR,1,230
Marquinho,PR,1,525
Massaranduba,SC,2,"230, 525"
Matelândia,PR,3,"230, 525, 600"
Mato Castelhano,RS,2,"230, 525"
Mato Leitão,RS,1,230
Mato Queimado,RS,1,525
Mato Rico,PR,1,600
Maximiliano de Almeida,RS,1,525
Medianeira,PR,4,"230, 525, 600, 765"
Meleiro,SC,1,230
Mercedes,PR,1,525
Mirim Doce,SC,1,525
Missal,PR,3,"525, 600, 765"
Montauri,RS,1,525
